fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
1109,111188,Barry Bonds,164.4,1,6,1985,CA,74,240,ca,LF,L,L,1986,2007,No
1274,121347,Alex Rodriguez,113.7,1,1,1993,NY,75,230,fl,SS,R,R,1994,2016,Yes
1011586,121836,Mike Schmidt,106.5,2,30,1971,OH,74,200,oh,3B,R,R,1972,1989,No
194,115749,Rickey Henderson,106.3,4,96,1976,IL,70,190,ca,LF,R,L,1979,2003,Yes
1010978,121222,Cal Ripken Jr.,92.5,2,48,1978,MD,76,220,md,SS,R,R,1981,2001,Yes
1001124,111153,Wade Boggs,88.3,7,166,1976,NE,74,197,fl,3B,L,R,1982,1999,Yes
10155,545361,Mike Trout,86.5,1,25,2009,NJ,74,235,nj,CF,R,R,2011,2023,Yes
1001400,111437,George Brett,84.6,2,29,1971,WV,72,200,ca,3B,L,R,1973,1993,Yes
97,116706,Chipper Jones,84.6,1,1,1990,FL,76,210,fl,3B,S,R,1993,2012,Yes
547,110432,Jeff Bagwell,80.2,4,109,1989,MA,72,215,ma,1B,R,R,1991,2005,No
327,115135,Ken Griffey Jr.,77.7,1,1,1987,PA,74,230,oh,CF,L,L,1989,2010,Yes
1000826,110849,Johnny Bench,74.8,2,36,1965,OK,73,208,ok,C,R,R,1967,1983,Yes
826,116539,Derek Jeter,73.1,1,6,1992,NJ,75,195,mi,SS,R,R,1995,2014,Yes
1006308,116439,Reggie Jackson,72.7,1,2,1966,PA,72,200,pa,RF,L,L,1967,1987,No
255,123245,Frank Thomas,72.1,1,7,1989,GA,77,275,ga,DH,R,R,1990,2008,No
1009386,119579,Eddie Murray,72,3,63,1973,CA,74,200,ca,1B,S,R,1977,1997,Yes
970,121409,Scott Rolen,69.9,2,46,1993,IN,76,245,in,3B,R,R,1996,2012,Yes
1002015,112061,Gary Carter,69.4,3,53,1972,CA,74,215,ca,C,R,R,1974,1992,Yes
1005033,115130,Bobby Grich,69.2,1,19,1967,MI,74,190,ca,2B,R,R,1970,1986,Yes
409,123272,Jim Thome,69.1,13,331,1989,IL,76,250,il,1B,L,R,1991,2012,No
1004101,114182,Carlton Fisk,68.3,48,758,1965,VT,74,220,vt,C,R,R,1969,1993,No
1013846,124154,Lou Whitaker,68.1,5,99,1975,NY,71,160,va,2B,L,R,1977,1995,Yes
1009040,119236,Paul Molitor,67.7,1,3,1977,MN,72,185,mn,DH,R,R,1978,1998,No
1012186,122439,Ozzie Smith,67.6,4,86,1977,AL,71,150,al,SS,S,R,1978,1996,No
335,117501,Barry Larkin,67,1,4,1985,OH,72,185,oh,SS,R,R,1986,2004,No
1014396,124721,Robin Yount,66.5,1,3,1973,IL,72,170,ca,SS,R,R,1974,1993,Yes
