fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
815,112388,Roger Clemens,133.7,1,19,1983,OH,76,235,oh,P,R,R,1984,2007,No
104,118120,Greg Maddux,116.7,2,31,1984,TX,72,195,nv,P,R,R,1986,2008,Yes
60,116615,Randy Johnson,110.5,2,36,1985,CA,82,225,ca,P,R,L,1988,2009,No
1011348,121597,Nolan Ryan,106.7,12,226,1965,TX,74,195,tx,P,R,R,1966,1993,Yes
1001098,111126,Bert Blyleven,102.9,3,55,1969,NA,75,207,ca,P,R,R,1970,1992,Yes
1011708,121961,Tom Seaver,92.4,10,190,1965,CA,73,205,ca,P,R,R,1967,1986,No
8700,434378,Justin Verlander,81.3,1,2,2004,VA,77,235,va,P,R,R,2005,2023,No
837,119608,Mike Mussina,81.2,1,20,1990,PA,74,190,pa,P,L,R,1991,2008,No
115,122477,John Smoltz,79.5,22,574,1985,MI,75,220,mi,P,R,R,1988,2009,Yes
642,111554,Kevin Brown,76.5,1,4,1986,GA,76,220,ga,P,R,R,1986,2005,No
2036,477132,Clayton Kershaw,75.8,1,7,2006,TX,76,225,tx,P,L,L,2008,2023,Yes
3137,453286,Max Scherzer,72.5,1,11,2006,MO,75,208,mo,P,R,R,2008,2023,No
840,120485,Andy Pettitte,68.2,22,577,1990,LA,77,225,tx,P,L,L,1995,2013,Yes
1010852,121089,Rick Reuschel,68.2,3,67,1970,IL,75,235,il,P,R,R,1972,1991,No
90,114849,Tom Glavine,66.7,2,47,1984,MA,72,205,ma,P,L,L,1987,2008,Yes
1943,425844,Zack Greinke,66.6,1,6,2002,FL,74,200,fl,P,R,R,2004,2023,Yes
404,282332,CC Sabathia,66.5,1,20,1998,CA,78,300,ca,P,L,L,2001,2019,Yes
1303,136880,Roy Halladay,65.4,1,17,1995,CO,78,225,co,P,R,R,1998,2013,Yes
1003660,113726,Dennis Eckersley,61.8,3,50,1972,CA,74,190,ca,P,R,R,1975,1998,Yes
1012818,123084,Frank Tanana,58.5,1,13,1971,MI,75,195,mi,P,L,L,1973,1993,Yes
855,124071,David Wells,58.3,2,30,1982,CA,75,250,ca,P,L,L,1987,2007,Yes
384,114133,Chuck Finley,56.9,15,372,1984,LA,78,225,la,P,L,L,1986,2002,No
1004852,114947,Dwight Gooden,56.7,1,5,1982,FL,75,210,fl,P,R,R,1984,2000,Yes
1680,112552,David Cone,56,3,74,1981,MO,73,200,mo,P,L,R,1986,2003,Yes
1009211,119399,Jack Morris,55.8,5,98,1976,MN,75,200,mn,P,R,R,1977,1994,No
1011355,121604,Bret Saberhagen,55.3,19,479,1982,IL,73,200,ca,P,R,R,1984,2001,Yes
571,400061,Roy Oswalt,52.6,23,684,1996,MS,72,190,ms,P,R,R,2001,2013,No
225,279824,Mark Buehrle,52.3,38,1139,1998,MO,74,240,mo,P,L,L,2000,2015,No
1010853,121090,Jerry Reuss,51.7,2,30,1967,MO,77,215,mo,P,L,L,1969,1990,Yes
4972,430935,Cole Hamels,51.6,1,17,2002,CA,76,205,ca,P,L,L,2006,2020,Yes
3,110293,Kevin Appier,50.8,1,9,1987,CA,74,220,ca,P,R,R,1989,2004,No
1005124,115228,Ron Guidry,49.3,3,65,1971,LA,71,162,la,P,L,L,1975,1988,No
1001094,111119,Vida Blue,49.2,2,27,1967,LA,72,189,la,P,S,L,1969,1986,Yes
1007323,117480,Mark Langston,49.2,2,35,1981,CA,74,190,ca,P,R,L,1984,1999,No
921,218596,Tim Hudson,49,6,185,1997,GA,73,175,ga,P,R,R,1999,2015,No
1636,424324,Cliff Lee,48.2,4,105,2000,AR,75,205,ar,P,L,L,2002,2014,No
1005741,115861,Orel Hershiser,48,17,440,1979,NY,75,190,ny,P,R,R,1983,2000,No
1091,119469,Jamie Moyer,48,6,135,1984,PA,72,185,pa,P,L,L,1986,2012,No
2233,425794,Adam Wainwright,47.6,1,29,2000,GA,79,230,ga,P,R,R,2005,2023,Yes
10603,519242,Chris Sale,47.6,1,13,2010,FL,78,180,fl,P,L,L,2010,2023,No
106,119154,Kevin Millwood,46.5,11,320,1993,NC,76,230,nc,P,R,R,1997,2012,Yes
4930,452657,Jon Lester,46.2,2,57,2002,WA,76,249,wa,P,L,L,2006,2021,Yes
1006885,117032,Jimmy Key,45,3,56,1982,AL,73,190,al,P,R,L,1984,1998,No
1008246,118428,Jon Matlack,44.9,1,4,1967,PA,75,205,pa,P,L,L,1971,1983,Yes
179,111734,John Burkett,44.3,6,148,1983,PA,75,215,pa,P,R,R,1987,2003,Yes
13125,543037,Gerrit Cole,43.9,1,28,2008,CA,76,220,ca,P,R,R,2013,2023,Yes
1012532,122791,Dave Stieb,43.8,5,106,1978,CA,73,195,ca,P,R,R,1979,1998,No
1051,408241,Jake Peavy,43.7,15,472,1999,AL,73,195,al,P,R,R,2002,2016,Yes
1507,407793,John Lackey,43.2,2,68,1999,TX,78,235,tx,P,R,R,2002,2017,No
1013435,123732,Frank Viola,42.8,2,37,1981,NY,76,209,ny,P,L,L,1982,1996,No
10954,594798,Jacob deGrom,42.6,9,272,2010,FL,76,180,fl,P,L,R,2014,2023,No
1277,121386,Kenny Rogers,42.5,39,814,1982,GA,73,190,fl,P,L,L,1989,2008,Yes
512,150359,A.J. Burnett,42.5,8,217,1995,AR,76,230,ar,P,R,R,1999,2015,Yes
3184,456034,David Price,42.5,1,1,2007,TN,77,215,tn,P,L,L,2008,2023,No
1001909,111952,John Candelaria,41.6,2,47,1972,NY,79,230,ny,P,L,L,1975,1993,Yes
1006005,116131,Burt Hooton,40.4,5,85,1968,TX,73,210,tx,P,R,R,1971,1985,Yes
1757,429717,Dan Haren,40.4,2,72,2001,CA,77,215,ca,P,R,R,2003,2015,No
199,117955,Derek Lowe,39.4,8,214,1991,MI,78,230,mi,P,R,R,1997,2013,Yes
1013750,124064,Bob Welch,38.9,1,20,1977,MI,75,190,mi,P,R,R,1978,1994,No
748,120878,Brad Radke,38.7,8,206,1991,WI,74,185,fl,P,R,R,1995,2006,Yes
1005115,115217,Mark Gubicza,38.6,2,34,1981,PA,77,220,pa,P,R,R,1984,1997,Yes
2429,446372,Corey Kluber,38.3,4,134,2007,AL,76,210,al,P,R,R,2011,2023,No
1292,112020,Chris Carpenter,37.9,1,15,1993,NH,78,230,nh,P,R,R,1997,2012,Yes
1131,121834,Jason Schmidt,37.5,8,205,1991,ID,77,220,wa,P,R,R,1995,2009,Yes
1012824,123090,Kevin Tapani,37.4,2,40,1986,IA,72,190,ia,P,R,R,1989,2001,No
1004133,114216,Mike Flanagan,37.2,7,159,1973,NH,72,195,nh,P,L,L,1975,1992,No
1005989,116115,Ken Holtzman,37.2,4,61,1965,MO,74,175,mo,P,R,L,1965,1979,No
287,117758,Jon Lieber,36.9,2,44,1992,IA,74,240,ia,P,L,R,1994,2008,No
10131,544931,Stephen Strasburg,36.6,1,1,2009,CA,77,239,ca,P,R,R,2010,2023,No
883,117652,Al Leiter,36.5,2,50,1984,NJ,75,220,nj,P,L,L,1987,2005,Yes
510,277417,Josh Beckett,36.3,1,2,1999,TX,77,230,tx,P,R,R,2001,2014,Yes
1144,110854,Andy Benes,36.2,1,1,1988,IN,78,245,in,P,R,R,1989,2002,No
1014174,124491,Mike Witt,35.9,4,92,1978,CA,79,192,ca,P,R,R,1981,1993,Yes
1006222,116350,Bruce Hurst,35.8,1,22,1976,UT,75,215,ut,P,L,L,1980,1994,Yes
1010887,121124,Rick Rhoden,35.3,1,20,1971,FL,75,195,fl,P,R,R,1974,1989,Yes
1000122,110124,Doyle Alexander,34.9,9,184,1968,AL,75,205,al,P,R,R,1971,1989,Yes
282,114971,Tom Gordon,34.7,6,157,1986,FL,70,200,fl,P,R,R,1988,2009,Yes
1009122,119313,Mike Moore,34.7,1,1,1981,OK,76,205,ok,P,R,R,1982,1995,No
1008799,118990,Andy Messersmith,34.2,3,53,1965,NJ,73,200,nj,P,R,R,1968,1979,No
16149,605400,Aaron Nola,33.9,1,7,2014,LA,74,200,la,P,R,R,2015,2023,No
